City,NAME,Code,long,lat
枣庄市,Zaozhuang,370400,117.557964,34.856424
济南市,Jinan,370100,117.000923,36.675807
潍坊市,Weifang,370700,119.107078,36.70925
日照市,Rizhao,371100,119.461208,35.428588
泰安市,Tai'an,370900,117.129063,36.194968
淄博市,Zibo,370300,118.047648,36.814939
德州市,Dezhou,371400,116.307428,37.453968
威海市,Weihai,371000,122.116394,37.509691
东营市,Dongying,370500,118.66471,37.434564
莱芜市,Laiwu,371200,117.677736,36.214397
菏泽市,Heze,371700,115.469381,35.246531
聊城市,Liaocheng,371500,115.980367,36.456013
济宁市,Jining,370800,116.587245,35.415393
青岛市,Qingdao,370200,120.355173,36.082982
滨州市,Binzhou,371600,118.016974,37.383542
临沂市,Linyi,371300,118.326443,35.065282
烟台市,Yantai,370600,121.391382,37.539297
